user,value_score,risk_score,total_score,target_grant,min_grant,grant
scikit-learn,67.29,100.0,100.0,40,1,40
tartley,77.2,37.21,42.69,17,40,40
jaraco,83.71,59.39,73.88,30,1,30
urllib3,87.9,55.69,72.75,29,1,29
pydantic,79.13,57.84,68.02,27,1,27
dpgaspar,51.21,88.28,67.18,27,5,27
youtype,73.51,59.64,65.15,26,5,26
prithivirajdamodaran,4.55,34.34,2.32,1,25,25
yaph,17.2,49.07,12.54,5,25,25
cesbit,9.33,37.02,5.13,2,25,25
ipython,75.97,54.82,61.89,25,1,25
pypa,100.0,40.03,59.49,24,5,24
psf,87.6,43.61,56.77,23,1,23
tox-dev,74.95,51.2,57.03,23,1,23
twisted,56.19,66.61,55.62,22,5,22
uqfoundation,72.51,50.12,54.01,22,15,22
tlocke,67.47,53.83,53.97,22,10,22
ousret,83.59,44.6,55.4,22,5,22
sphinx-doc,70.33,50.68,52.97,21,5,21
davidhalter,68.38,51.13,51.96,21,1,21
celery,66.87,52.19,51.86,21,10,21
pkjmesra,14.29,43.02,9.14,4,20,20
jezdez,12.32,22.18,4.06,2,20,20
vinitkumar,19.52,54.6,15.84,6,20,20
yzhao062,31.3,37.97,17.66,7,20,20
pallets,92.77,36.28,50.02,20,1,20
matplotlib,72.51,46.84,50.47,20,10,20
wolph,70.69,48.83,51.3,20,1,20
jannikmi,39.22,79.44,46.3,19,1,19
python-websockets,60.79,51.94,46.92,19,1,19
jpadilla,75.9,41.97,47.34,19,1,19
hynek,80.52,40.57,48.55,19,1,19
python-trio,71.42,43.08,45.72,18,1,18
facelessuser,72.15,41.63,44.64,18,1,18
bokeh,45.13,66.13,44.35,18,5,18
adamchainz,56.06,52.0,43.32,17,5,17
spyder-ide,49.7,58.52,43.22,17,5,17
joke2k,56.07,50.88,42.4,17,2,17
praw-dev,34.82,81.55,42.2,17,1,17
kislyuk,64.71,43.23,41.57,17,10,17
spec-first,52.7,52.17,40.86,16,5,16
opencv,57.89,47.95,41.25,16,9,16
jessicategner,44.88,61.52,41.03,16,9,16
getmoto,53.18,51.8,40.94,16,1,16
optuna,39.94,68.1,40.42,16,1,16
giampaolo,72.53,37.06,39.95,16,1,16
georgkrause,48.71,54.58,39.51,16,1,16
networkx,64.74,40.7,39.16,16,1,16
pymc-devs,33.08,78.3,38.49,15,1,15
mkdocs,43.89,58.55,38.19,15,5,15
denisneuf,2.5,50.49,1.88,1,15,15
masoniteframework,7.3,56.75,6.16,2,15,15
kivymd,7.95,51.4,6.07,2,15,15
sqlalchemy,78.16,32.72,38.01,15,5,15
imageio,59.03,43.25,37.94,15,1,15
jd,66.05,38.3,37.59,15,5,15
thombashi,49.14,50.94,37.2,15,1,15
sympy,55.25,44.86,36.83,15,5,15
typeddjango,42.15,55.56,34.8,14,10,14
kornia,38.74,59.73,34.39,14,1,14
svinota,32.91,73.13,35.77,14,5,14
paulfitz,29.9,21.78,9.68,4,14,14
pyupio,42.42,56.5,35.62,14,1,14
kurtmckee,42.41,56.34,35.51,14,1,14
plotly,57.49,41.52,35.47,14,8,14
ionelmc,63.4,35.88,33.81,14,5,14
cupy,26.64,85.7,33.93,14,1,14
farama-foundation,44.17,51.71,33.94,14,5,14
martinblech,63.72,35.87,33.97,14,1,14
horejsek,61.78,38.04,34.93,14,5,14
encode,76.12,30.15,34.11,14,1,14
adrienverge,48.01,48.14,34.35,14,1,14
sqlfluff,39.05,58.77,34.11,14,2,14
vgrem,45.39,46.79,31.56,13,5,13
john-kurkowski,51.27,41.75,31.81,13,5,13
amoffat,48.37,44.24,31.8,13,1,13
bastibe,41.0,52.69,32.1,13,1,13
lepture,62.03,35.29,32.53,13,10,13
igraph,35.28,62.22,32.62,13,1,13
stan-dev,48.14,45.92,32.85,13,5,13
wbond,71.58,31.31,33.31,13,1,13
mvantellingen,52.27,38.13,29.62,12,1,12
sethmlarson,41.2,47.76,29.24,12,1,12
miguelgrinberg,52.61,39.05,30.53,12,1,12
sktime,33.83,59.48,29.9,12,1,12
lark-parser,47.2,41.71,29.26,12,1,12
gristlabs,58.3,35.07,30.38,12,1,12
vimalloc,48.39,40.64,29.23,12,1,12
hhatto,45.89,42.41,28.92,12,1,12
sdispater,75.37,25.24,28.27,11,5,11
fabiocaccamo,37.61,50.86,28.43,11,5,11
caronc,34.63,55.22,28.42,11,1,11
camdavidsonpilon,39.21,48.52,28.27,11,1,11
python,94.07,19.36,27.06,11,1,11
jab,40.39,45.39,27.24,11,1,11
jdavid,38.1,47.74,27.03,11,5,11
lextudio,36.48,49.42,26.79,11,1,11
coin-or,36.86,51.19,28.04,11,5,11
worksapplications,40.64,45.85,27.69,11,5,11
indygreg,49.71,37.06,27.38,11,1,11
hgrecco,39.95,46.45,27.58,11,1,11
dj-stripe,17.26,33.66,8.63,3,10,10
erdogant,20.63,35.6,10.91,4,10,10
pokepetter,10.92,54.66,8.87,4,10,10
slhck,11.73,58.98,10.28,4,10,10
richardkiss,14.59,47.71,10.34,4,10,10
webrecorder,22.28,32.15,10.64,4,10,10
smurfix,28.9,26.19,11.25,4,10,10
quantconnect,20.82,50.56,15.64,6,10,10
fokko,24.61,33.07,12.09,5,10,10
dxa4481,24.74,34.11,12.54,5,10,10
dimagi,21.62,55.83,17.94,7,10,10
danielfrg,19.4,44.69,12.88,5,10,10
nschloe,26.51,35.61,14.03,6,10,10
plasma-umass,15.16,64.92,14.63,6,10,10
abhinavsingh,19.51,44.43,12.88,5,10,10
ashishb,4.45,50.32,3.33,1,10,10
ufrisk,4.44,22.62,1.49,1,10,10
voidful,6.8,39.02,3.94,2,10,10
runestoneinteractive,7.37,54.5,5.97,2,10,10
dcajasn,7.4,52.99,5.83,2,10,10
typesense,17.08,24.82,6.3,3,10,10
cr0hn,13.72,32.99,6.73,3,10,10
vkottler,5.82,49.63,4.29,2,10,10
juanifioren,7.11,39.59,4.18,2,10,10
inventree,10.95,25.59,4.16,2,10,10
pygfx,6.3,42.53,3.98,2,10,10
